According to a 2006 study; this destination has the bluest sky in the entire world,Rio de Janeiro,Copenhagen,Sydney,Whitehorse
The glacier-fed lake gets its famous blue color from small fragments of rock that are found in the water.,Moraine Lake,Lake Athabasca,Lake Nipigon,Dubawnt Lake
This landmark features a beach that is covered with giant; naturally formed boulders,Moeraki Boulders,Boulder Beach,Nugget Point,Tararua Range
This is the most mineralized lake in the world,Spotted Lake,Soap Lake,Searles Lake,Oxford Lake
This spring is famous for its huge size and beautiful natural coloring,Grand Prismatic Spring,Glenwood Hot Spring,Lava Hot Spring,Riverbend Spring
The four faces of this famous mountain face the four cardinal directions,Matterhorn,Mt. Rushmore,Mt. Blanc,Eiger
This glacier was named after New Zealands Prime Minister in 1872,Fox Glacier,Perito Moreno,Biafo Glacier,Mendenhall Glacier
This is the biggest volcanic caldera in the world; and was created 2.5 million years ago when a huge volcano collapsed into itself,Ngorongoro Crater,Meteor Crater,Vredefort Crater,Lonar Lake Crater
This french destination offeres not only a beautiful turquoise river; but over 1500 rock climbing courses,Verdon Gorge,Kali Gandaki Gorge,Tiger Leaping Gorge,Fish River Canyon
This African lake is famous for its population of anywhere from thousands to millions of flamingos,Lake Nakuru,Lake Victoria,Lake Malawi,Lake Albert
Because of how isolated this volcanic island is; its residents have developed a culture that is notably different than that of people on the mainland,Jeju Island,Ulleungdo Island,Marado Island,Jindo Island
"This place's famous rock formations; known as ""Cotton Castles""; were formed by a series of volcanic eruptions millions of years ago",Cappadocia,Istanbul,Ephesus,Bodrum
This is the largest glacier in Iceland and is famous for its jaw-dropping ice caves,Vatnajokull,Fox Glacier,Pasterze Glacier,Baltoro Glacier
While most rivers empty into an ocean; sea; or lake; the Okavango River flows into an open field; creating this famous African ecosystem,Okavango Delta,Mekong Delta,Kakadu Wetlands,Kerala Backwaters
This famous Portuguese cave features two gaping entrances and a natural skylight,Benagil Sea Cave,Neptune's Grotto,Staffa,Fingal's Cave
This Himalayan Buddhist holy site is also known as the Tiger's Nest,Paro Taktsang,Rumtek Monastery,Lumbini,Kichu Lhakang
"French author Jean Giono said ""Lavender is the soul of Provence"" upon seeing the beauty of this landmark",Lavender Field,Castle Farm,Banstead,Snowshill
This cave offers the perfect environment to support a thriving population of glow worms,Glow Worm Cave,Te Anau Caves,Auckland Caves,Glowing Caves
This beautiful resort town was once used as a supplying base for the US during WWII,Bora Bora,Maldives,Fiji,The Abacos
Although it was built in the 12th century; this temple remained undiscovered until the 20th century,Ta Prohm,Bisaldeo Temple,Chateshwar Temple,Halasi
This natural wonder appears on China's 20 yuan note,Li River,Yellow River,Yangtze River,Mekong River
Cleopatra herself is said to have swum in these natural hotsprings,Pamukkale,Thermae Bath Spa,Karlovy Vary,Terme di Saturnia
This island features a number of odd plants and animals that are exclusively found there; and has been called the most alien-planet looking place in the world,Socotra,Sitra,Umm an Nasan,Jidda Island
This Indian landmark is; on top of a farm; home to 6 Indian elephants,Tea Plantations of Munnar,Glenburn Tea Estate,Jorhat Tea Bungalows,Kolukkumalai Tea Estate
The lakes found here are famous for changing colors from bright blue to emerald green on a daily basis,Plitvice Lakes National Park,Krka National Park,Paklenica,Kornati
This coastline features a desert and ocean meeting; and is home to multiple shipwrecks,Skeleton Coast,Diani Beach,Watamu,Nungwi
These twin volcanic peaks helped put St. Lucia on the map as a tourist destination,Pitons,Blue Mountain Peaks,Pico Duartes,Pic las Selles
This destination features the Big Daddy Dune; one of the largest sand dunes in the world,Sossusvlei,Namib Desert,Pilat,Erg Chebbi
This glacier experienced two surges; or periods of significant growth; in the past 30 years alone,Hubbard Glacier,Bering Glacier,Portage Glacier,Mendenhall Glacier
A unique species of dinosaur was found fossilized in this Colorado park,Garden of the Gods,Lathrop State Park,Elkhead,Eleven Mile State Park
This US bay is actually an estuary; or a body of water that contains a mixture of salt and fresh water,Chesapeake Bay,Buzzards Bay,Massachusetts Bay,Saginaw Bay
"This rock formation is often compared to the fictional ""Pride Rock"" from the Disney movie ""Lion King""",Trolltunga,Externsteine,Svartifoss,Arbol de Piedra
The huge arches on this beach stand around 30 meters tall,Beach of Cathedrals,Playamar Beach,Beach of La Concha,Cala del Senyor Ramon
This formal royal palace located in Paris is now a historic art museum and monument,Louvre Museum,French Museum of Modern Art,Orsay Museum,Quai Branly Museum
This biographical museum in Amsterdam is dedicated to the famous diarist during the Holocaust,Anne Frank House,Burgkloster,Jewish Museum of Berlin,Holocaust Memorial of Berlin
These ancient Mayan ruins are located in Guatemala; and contain the iconic Lost World ruins,Tikal,Teotihuacan,Chicen Itza,Machu Pichu
These ruins are located in Southern Mexico; and was a Mayan city state that flourished in the 7th century.,Palenque,Chichen Itza,Coba,Yaxchilan
This location in Egypt was where rock cut tombs were excavated for the Pharaohs for 500 years.,Valley of Kings,Pharoah's Walk,The Kings Trails,Royal Burial Grounds
This ancient Hindu temple is located in the temple city of Madurai; India.,Meenakshi Temple,Somnath Temple,Jagannath Temple,Lingaraja Temple
This is a city in the Anti-Lebanon foothills east of the Litani River in Lebanon.,Baalbek,Tripoli,Tyre,Sidon
This river is the longest in the world to flow entirely within one country.,Yangtze River,Li River,Yellow River,Nile River
This Chicago landmark is the center of Grant Park; and one of the largest in the world.,Buckingham Fountain,Archibald Fountain,Fountain of Wealth,Nation's Friendship Fountain
This sandstone rock formation located in Arizona formed over 2 billion years ago.,The Wave Rock,Balanced Rock,Layered Canyon,Valley of the Gods
This archaeological landscape in Laos consists of thousands of stone jars scattered around the valleys and foothills,Plain of Jars,Pot Rock Field,Stoney Plateau,Mason's Forest
This 535-million year old monolith is one of the most iconic sites in North Carolina,Chimney Rock,Devil's Tower,Courthouse Rock,Toadstool Tower
This high waterfall is located on the Snake River in southern Idaho,Shoshone Falls,Iowa Falls,Rocky Falls,Niagara Falls
This 19th century castle was built by a German king who aimed to withdraw from public life,Neuschwanstein,Reichstag,Sanssouci,Dresden
This large estate house located in Scotland is where Queen Elizabeth II spends her summer holiday,Balmoral Castle,Stirling Castle,Glamis Castle,Dunnottar Castle
This building located in the center of Barcelona is one of Antoni Gaudi's masterpieces,Casa Batllo,Casa Mila,Generalife,Seville Cathedral
This monumental church dominates over the Red Light District in Amsterdam,Oude Kerk,Beurs van Berlage,Rembrandt House,Westerkerk
This airport is the largest airport in the US at 33;531 acres in total land area,Denver International Airport,Indianapolis International Airport,LAX,O'Hare International Airport
This neighborhood in Brooklyn turns into a popular tourist destination in the summer,Coney Island,Long Island,Statton Island,Cape Cod
This location is home to the Lincoln Memorial; Washington Monument; the U.S. Capitol; and the White House,National Mall,National Lawn,Monument Walk,Washington's Road
This is the last type of system of its kind; and it forms part of the intermodal urban transport network in the city,San Francisco Cable Cars,New York Subway,New Orleans Trolley,Austin Trolley
This communications and observation tower in downtown Ontario; Canada was once the world's tallest free-standing structure for over 30 years,CN Tower,Space Needle,Tapei 101,Willis Tower
This Mid-Atlantic river in the United States is 405 miles long and flows through multiple states,Potomac River,Mississippi River,DC River,Susquehanna River
